unnamed:_0,flow_id,source_ip,source_port,destination_ip,destination_port,protocol,timestamp,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,fwd_avg_bytes/bulk,fwd_avg_packets/bulk,fwd_avg_bulk_rate,bwd_avg_bytes/bulk,bwd_avg_packets/bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,simillarhttp,inbound,label
46684,172.217.12.130-192.168.50.6-443-55554-6,172.217.12.130,443,192.168.50.6,55554,6,2018-11-03 10:31:43.277483,111,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,162162.16216216216,27027.027027027027,55.5,75.6604255869606,109.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,9009.009009009009,18018.018018018018,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,265,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
304099,172.16.0.5-192.168.50.4-603-5922-17,172.16.0.5,603,192.168.50.4,5922,17,2018-11-03 10:01:50.768390,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,343.5,229.0,0.0,-2,0,0,0,0,0,0,2,458,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,NetBIOS
221435,172.16.0.5-192.168.50.4-949-65030-17,172.16.0.5,949,192.168.50.4,65030,17,2018-11-03 10:01:51.214168,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,343.5,229.0,0.0,40,0,0,0,0,0,0,2,458,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,NetBIOS
5268,192.168.50.8-4.2.2.4-64077-53-17,192.168.50.8,64077,4.2.2.4,53,17,2018-11-03 10:47:31.786649,20624,2,2,62.0,94.0,31.0,31.0,31.0,0.0,47.0,47.0,47.0,0.0,7564.00310318076,193.9487975174554,6874.666666666666,11903.807892155071,20620.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,96.9743987587277,96.9743987587277,31.0,47.0,37.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,46.75,31.0,47.0,40,0,0,0,0,0,0,2,62,2,94,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
30731,172.16.0.5-192.168.50.4-61850-6059-17,172.16.0.5,61850,192.168.50.4,6059,17,2018-11-03 10:34:03.322673,1,2,0,1024.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,1024000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0,2000000.0,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,768.0,512.0,0.0,28,0,0,0,0,0,0,2,1024,0,0,-1,-1,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,MSSQL
30219,172.16.0.5-192.168.50.4-61850-47819-17,172.16.0.5,61850,192.168.50.4,47819,17,2018-11-03 10:34:05.193608,2,2,0,918.0,0.0,459.0,459.0,459.0,0.0,0.0,0.0,0.0,0.0,459000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,459.0,459.0,459.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,688.5,459.0,0.0,40,0,0,0,0,0,0,2,918,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,MSSQL
76543,192.168.50.8-8.8.8.8-62621-53-17,192.168.50.8,62621,8.8.8.8,53,17,2018-11-03 10:32:02.071626,44797,2,2,50.0,82.0,25.0,25.0,25.0,0.0,41.0,41.0,41.0,0.0,2946.625890126571,89.29169364019913,14932.333333333332,25860.96193750985,44794.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,44.64584682009957,44.64584682009957,25.0,41.0,31.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,39.25,25.0,41.0,40,0,0,0,0,0,0,2,50,2,82,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
52083,172.16.0.5-192.168.50.4-57999-29997-17,172.16.0.5,57999,192.168.50.4,29997,17,2018-11-03 11:01:49.636183,1,2,0,802.0,0.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,802000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,786,0,2000000.0,0.0,401.0,401.0,401.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,601.5,401.0,0.0,786,0,0,0,0,0,0,2,802,0,0,-1,-1,1,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,UDP
43573,172.16.0.5-192.168.50.4-61850-38186-17,172.16.0.5,61850,192.168.50.4,38186,17,2018-11-03 10:34:04.362189,2,2,0,1028.0,0.0,514.0,514.0,514.0,0.0,0.0,0.0,0.0,0.0,514000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1524,0,1000000.0,0.0,514.0,514.0,514.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,771.0,514.0,0.0,1524,0,0,0,0,0,0,2,1028,0,0,-1,-1,1,762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,MSSQL
511,192.168.50.9-112.121.107.46-44164-443-6,112.121.107.46,443,192.168.50.9,44164,6,2018-11-03 10:49:51.753976,2,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6000000.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,140,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
70011,172.16.0.5-192.168.50.4-648-4832-17,172.16.0.5,648,192.168.50.4,4832,17,2018-11-03 10:01:30.149806,1,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,458000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,2000000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,343.5,229.0,0.0,16,0,0,0,0,0,0,2,458,0,0,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Portmap
103918,172.16.0.5-192.168.50.4-648-30665-17,172.16.0.5,648,192.168.50.4,30665,17,2018-11-03 10:01:26.158235,50,2,0,458.0,0.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,9160000.0,40000.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,40000.0,0.0,229.0,229.0,229.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,343.5,229.0,0.0,16,0,0,0,0,0,0,2,458,0,0,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Portmap
